icon
:‑)
:)
:‑D
:D
:-))
:‑(
:(
:'‑(
:'(
:=(
:'‑)
:')
D‑':
:‑O
:O
:-*
:*
;‑)
;)
:‑P
:P
:-/
:/
:‑|
:|
:$
:‑X
:X
O:‑)
O:)
>:‑)
:)
|;‑)
:‑J
#‑)
%‑)
%)
:‑###..
:###..
<:‑|
"',:-|"
:E
<_<
8-X
:-]
:]
8‑D
8D
:‑c
:c
D:<
:‑o
:o
:×
*-)
*)
X‑P
XP
:‑.
://)
://3
:‑#
:#
0:‑3
}:‑)
}:)
|‑O
"',:-l"
>_>
8=X
:-3
:3
x‑D
xD
:‑<
:<
D:
:-0
;‑]
;]
x‑p
xp
>:\
:‑&
:&
0:‑)
0:)
3:‑)
3:)
B-)
<.<
x-3
:->
:>
X‑D
XD
:‑[
:[
D8
8‑0
;^)
;>
:‑p
:p
>:/
0;^)
>;)
>.>
x=3
8-)
8)
=D
:-||
D;
>:O
":‑,"
:‑Þ
:Þ
:\
>:3
;3
:-}
:}
>:[
D=
;D
:‑þ
:þ
=/
:o)
B^D
:{
DX
:‑b
:b
:c)
c:
:@
d:
:L
:^)
C:
:(
=]
;(
>:P
:S
=)
☺️🙂😊😀😁
😃😄😆😍
☹️🙁😠😡😞😟😣😖
😢😭
🥲 😂
😨😧😦😱😫😩
😮😯😲
😗😙😚😘😍
😉😜😘
😛😝😜🤑
🤔😕😟
😐😑
😳😞😖
🤐😶
😇👼
😈
😎😪
😏😒
—
😵😵‍💫😕🤕
🤒😷🤢
—
🤨
😬
—
☠️💀🏴‍☠️
Smiley or happy face.[4][5][6]
"Laughing,[4] big grin,[5][6] laugh with glasses,[7] or wide-eyed surprise[8]"
Very happy or double chin[7]
"Frown,[4][5][6] sad,[9] angry,[7] pouting"
Crying[9]
Tears of happiness[9]
"Horror, disgust, sadness, great dismay[5][6] (right to left)"
"Surprise,[3] shock,[4][10] yawn[11]"
Kiss[4]
"Wink,[4][5][6] smirk[10][11]"
"Tongue sticking out, cheeky/playful,[4] blowing a raspberry"
"Skeptical, annoyed, undecided, uneasy, hesitant[4]"
"Straight face[5] no expression, indecision[9]"
"Embarrassed,[6] blushing[7]"
"Sealed lips or wearing braces,[4] tongue-tied[9]"
"Angel,[4][5][10] saint,[9] innocent"
"Evil,[5] devilish[9]"
"Cool,[9] bored/yawning[10]"
Tongue-in-cheek[12]
Partied all night[9]
"Drunk,[9] confused"
Being sick[9]
"Dumb, dunce-like[10]"
"Scepticism, disbelief, or disapproval[13][14]"
"Grimacing, nervous, awkward[15]"
Sideways look. Devious or guilty.[16]
Skull and crossbones[17]
:))
